neighborhood,description,history,vibe,activities_attractions
blue-ridge-north-beach,"With expansive views of Puget Sound, one of Seattle’s best parks—Carkeek—in its back yard, and beautiful homes that were almost all built within twenty years of each other, the Blue Ridge neighborhood of north Seattle has plenty to offer. Just south of Blue Ridge and bordering another stunner of a park, Golden Gardens, North Beach is a little less formal than Blue Ridge, but has similar homes and views. The two neighborhoods are often lumped together as the Blue Ridge/North Beach neighborhood.","After he tired of building airplanes, William Boeing decided to dip his toe into the land development market. He bought up a large chunk of land in northwest Seattle and began the Blue Ridge project. Trees were cleared, houses were built, and the wealthy of Seattle moved in. Five of the first homes, which were occupied by Boeing executives, still stand today and are referred to by residents as “the castles.”","Though years have passed and new types of people have moved in, Blue Ridge has kept its reputation as an elite community. A fancy community club, pristine landscaping, and streets that have a private-access kind of feel further cement this notion.","Being a residential neighborhood, Blue Ridge doesn’t have a business district or many destinations to check out. Except, of course, for Carkeek Park. Over 400 homes back up to the ravine that has trees, hiking trails, and picturesque streams and bridges. The park also has beach access, an environmental learning center, and picnic and playground areas where the infamous Bubble Man is known to dropinto entertain the kiddies. You can also head down to Golden Gardens Park for an excellent beach, off-leash dog area or an evening bonfire.Swanson’s Nursery is another gem situated in the neighborhood. Any home gardener would be happy to spend hours exploring their selection of plants, both native and exotic. It’s also a favorite spot to visit in December with Santa visits, elaborate Christmas displays, electric train, and of course a chance to get your fresh-cut Christmas tree!"
phinney-ridge,The Ridge that runs across the hilltop separating Ballard and Green Lake is enjoying a surge of new family friendly stops along the bustling Phinney / Greenwood Avenues. This ‘hood offers the ultimate in playgrounds – the Woodland Park Zoo.,"One of the earliest residents west of Green Lake was the wealthy Guy Phinney, who had his own private estate on the crest of the hill (which would later become Woodland Park and the Zoo). As the area immediately surrounding Green Lake filled with residents and the sawmill there worked its way through the nearby trees, people took advantage of the newly cleared land and moved in. Mr. Phinney encouraged more settlers by putting in his own trolley from Fremont to the area. As more transportation lines were put in, the entire area, including Phinney and Greenwood, became increasingly popular.","This area is the perfect mix of quiet neighborhood meets in-city energy. Phinney Avenue just begs to be strolled down and enjoyed. New eateries, coffee shops, and fun boutique shops are opening up all the time, and the Phinney Neighborhood Association keeps a steady string of community events on their calendar.","People from all over the city flock to Woodland Park and Woodland Park Zoo. Rumor has it, if you live on the edge of the park, you get two free passes to the summer ZooTunes concerts! Red Mill Burgers is a must-see, as is the PhinneyWood Art Walk. There also seem to be a high number of pet-related businesses; pets are welcome here!Of course, Green Lake is just a roll down the hill to the east, and Ballard is equally close to the west."
queen-anne,"If its name isn’t enough indication, the fact that this neighborhood can really be divided into four smaller ones should give you a clue as to how fancy and important it is.","Originally called Eden Hill, this neighborhood was one of the last to be completely developed because, well, it’s steep. As you can imagine, the base was the first to be built upon, but nobody really wanted to deal with trekking up to its top to build a home. In fact, land developers tried a “two-for-one” deal, where you could get two plots of land for the price of one if you built a house immediately. Can you imagine something like that happening today?! Once the issue of roads and transportation was solved, however, the area quickly populated. Sadly, no queen ever lived here. So many built Queen Anne style houses, the entire neighborhood adopted the name.","Well, it depends where you are on the Hill. Lower Queen Anne backs up to the Seattle Center (which includes the Space Needle, Key Arena, Science Center, etc.) and is close to all that downtown has to offer. East and West Queen Anne, which meet in the middle at the top of the hill, are both great residential areas that share a common business district along Queen Anne Avenue. North Queen Anne, which faces Fremont, is home to Seattle Pacific University and has a quieter feel.","Depending on who you ask, Lower Queen Anne may or may not include the Seattle Center, but let’s pretend for a moment that it does. In that case, there are about a gazillion events and attractions to keep you busy—Bumbershoot, Folk Life, IMAX theater, Children’s Theater, Key Arena (Rat City Rollergirls,or Seattle Stormanyone?), the Bite of Seattle, etc. etc. etc. Even if you eliminate that area, there are still tons of cool local restaurants and bars: Uptown Espresso, Ozzie’s Karaoke Bar, Peso’s, and Buckley’s sports-themed bar. Don’t even get me started!If this neighborhood had a central nervous system, Queen Anne Avenue would be the spinal cord; it runs straight through the middle and is where most of the important stuff happens. Up at the top of the hill, there are about 10 blocks’ worth of unique and charming places to peruse. Though there are great places to nosh—El Diablo (ask for your latte Cuban-style, with caramelized sugar), the famous How to Cook a Wolf, or the down-home 5 Spot with their rotating menu—there are many other things to do! Check out the stellar view of downtown Seattle and Mount Rainier from Kerry Park. Or relax and play a board game before you buy it at Blue Highway Games, where the motto is “Unplug and Reconnect.” Love it!"
wallingford,"If you’re like me, the word “Wallingford” brings to mind a snobbish million-dollar estate in England somewhere.  Well, forget it! The Seattle version of Wallingford is definitely not snobbish, nor will it cost you millions of dollars. But English accents are welcome.The neighborhood takes its name from a rich landowner who possessed almost the entire area from Green Lake down to Lake Union. It was annexed into the city in the 1890’s and began to grow once a trolley was built to connect downtown with Green Lake.","In 1906, a large industrial area was developed where coal was turned into gas–the area now known as Gasworks Park. Despite the fact that it spewed ash and sparks everywhere, the neighborhood continued to grow, attracting schools, businesses, and homes. By 1920, Wallingford was known as one of the more popular and fastest-growing spots in Seattle.","Wallingford has a nice mix of down-home, been-here-forever places (Dick’s Burgers and the Durn Good Grocery, for example) and trendy, hot-for-fall places, like Molly Moon ice cream and Tilth. The busiest area is along 45th Street, which is always bustling with activity as people visit the ever-changing lineup of restaurants, bars, and shops. Farther from the action lies the residential area with some pretty cool old homes.","As we mentioned earlier, there is tons to do along 45th Street. The Guild Theater, a two-screen cinema originally built in 1919, is still a popular attraction for moviegoers. Before the show, try out the Wallingford Pizza House for one of their famous “dome” pizzas–you have to see it to understand it. Afterwards, pop into Murphy’s Pub for a nightcap.The Wallingford Center, an old school building that was recently renovated to house apartments and retail spaces, is a big attraction. Year-round, head inside for a look-see around all of the gift shops, and make sure you grab a Trophy cupcake while you’re there!Gasworks Park is also a major landmark in the area. Learn a bit of history while touring the old plant, or maybe try your hand at kite-flying at the top of the hill. This is also a perfect place to hang out on the 4th of July, where you can picnic and watch the fireworks.Of course you can’t talk about Wallingford without giving a nod to that iconic QFC sign. They recently remodeled the building, but kept the sign. A good thing, too–otherwise The People may have revolted."
westlake,"The narrow strip of land along the western shore of Lake Union is aptly named Westlake, much like it’s brother to the east, Eastlake. Westlake is a major transportation corridor between downtown and North Seattle, filled with a mix of condos, apartments, offices, homes and houseboats.","The history of Westlake is inexorably linked to the growth of Seattle’s coal and timber industries along Lake Union. Transporting coal from Renton and Newcastle to ships on Elliott Bay eventually lead to construction of Seattle’s first railway along what is now Westlake Ave. A large lumber mill at the south end of Lake Union also fueled the need for transport along the lake. The Seattle Electric Railway extended its line to Fremont over a planked trestle hugging the western shore of Lake Union. That route still exists today as Westlake Ave, which was paved in 1906.","Westlake is a very narrow sliver of a neighborhood, sandwiched between Aurora Ave and Lake Union. Three major arterial roads cut through the neighborhood as the main routes from downtown to neighborhoods like Fremont, Ballard and Wallingford. Transport to and from downtown is easy, either via bus, car or bicycle.Westlake does house quite a few folks in a hodge-podge of accommodations. There are still 100 yr homes mixed in with more modern apartments and condos and even some townhomes. Like Eastlake, Westlake also houses a significant enclave of houseboat dwellers along the northwest shore of Lake Union.Despite its small size, Westlake is fairly crowded, with parking sometimes difficult on its crowded, narrow streets. It is also the land of urban condo/apartment dwellers with very few kids. There are also quite a few office buildings in this area, including some of Seattle’s most unique offices with parking spots for your boat underneath!","Westlake is home to a number of major attractions. The new South Lake Union Park is a great place to enjoy on a nice day, and from there it is a short hop to Kenmore Air and Argosy Cruises. You can also rent an electric boat or hot tub boat. The first Sunday of the month brings the infamous pancake breakfast at the Swedish Cultural Center.Lake Union has always been heavy with commercial activity. The lumber and coal transport along Westlake Ave has been changed to marinas, boat maintenance and yacht brokers. If you are looking to pilfer your retirement savings for a boat, you’ll likely end up at an establishment along Westlake.While Westlake is very urban and convenient, it doesn’t have much in the way of restaurants or stores of its own. It is convenient to the hotspots in Fremont, Queen Anne, Eastlake and South Lake Union, however."
whittier-heights,This small residential section of Ballard is ideal for people who love the vibe of northwest Seattle but want a slightly quieter place to call home.,"Much like other nearby subdivisions like Loyal Heights and Sunset Hill, Whittier Heights was only moved into once the housing options in downtown Ballard had filled up. The biggest era for growth was 1920 through 1940, when most of the houses were built. In more recent years, some new homes have been built, leaving the neighborhood with a nice mix of the vintage and the modern.","Whittier Heights is an unassuming residential neighborhood, basking quietly in the glow of its bigger sister, Ballard. The streets here are in a straightforward grid pattern, which furthers the notion that it’s a no-frills, no-nonsense place to live. On the outer edges of the neighborhood there are some fun pockets of businesses that offer nice alternatives to the main drag in Ballard.","One of the most charming places to explore in Whittier Heights is the area along 65th street at its southern border. This mini business district has a surprising variety of establishments, from dive bars like The Tin Hat to shoe shops (The Sneakery). Word has it that The Dray is a great place to watch soccer (I mean ‘football’) and sample some obscure beers. You can also get a tattoo at Slave to the Needle or check out Babalouise, the local salon.Further into the ‘heart’ of Whittier are a few other gems. People are raving about Honore Bakery and their French-inspired goods. Delancey pizza also deserves a nod for its wood-fired and unique pies. Just get ready to wait in line at both of these places!"
beacon-hill,"The giant tract of land south of downtown between I-5 and Rainier Valley is known as Beacon Hill, easy to find because of the old veteran’s hospital that sits atop its peak. Despite its close proximity to downtown and First Hill, Beacon Hill has a vibe all its own.","The key to Beacon Hill is its seclusion from the surrounding areas. This was a problem at first; no one was willing to move to the hill that was just slightly too far away. Eventually the hill was re-graded, making the area more accessible. When a trolley line was finally put in, many immigrants flocked to the neighborhood to farm and sell their produce to others.In 1909, a jail was built and inmates could “work off” part of their sentence by helping to clear the land for Jefferson park. And when the US Army warplanes came to Seattle in 1918, they had no airport at which to land, so they used this very park as their runway. This prompted the city to build Boeing field at the base of Beacon Hill.","Depending upon where you are on Beacon Hill, you’ll get a different feel for the neighborhood. The busiest section is on the north end, especially whereBeacon Hill meets the Rainier Valley. Up at the top of the hill, things settle down into a nice residential area with a small business district. The farther south you go, the more secluded and quiet things get.","Though Beacon Hill is largely residential, there are several pockets of activity in different areas. Beacon Avenue runs the length of the hill, and if you travel from north to south, you’ll get a great view of downtown and then reach a small area with restaurants and stores near 15th Avenue. Stop at The Station for coffee, or Delite Bakery—one of the favorite spots for residents here. If you keep heading south, you’ll go through Jefferson Park, which has a golf course, hiking trails, tennis courts, and kid-friendly play equipment.Along Rainier Avenue on the east side of the hill, there is an abundance of places to check out. Go bowling at Imperial Lanes or grab food at one of the many ethnic restaurants that line the street."
columbia-city,"Everyone’s buzzing about Columbia City these days, and a quick tour through the cozy residential area or a stroll through the business district makes it easy to see why!","Named after Christopher Columbus, this neighborhood aspired to be great from its beginning. With a sawmill that could make neat work of the area’s giant trees and a rail line that connected to Downtown Seattle, Columbia City was a popular place to settle in the late 1800s. With its many businesses and services, it was even considered a downtown to the smaller communities nearby.After World War II, the neighborhood saw a decline. Businesses closed, and crime rates rose. In the past few decades, however, many efforts have successfully spruced things up and attracted residents once again.","Columbia City has the highestWalk Scoreof any neighborhood south of downtown, including the ever-popular “Junction” in West Seattle. Translation: there’s a lot to do here, and it’s all concentrated in one area. The people here love to support the local businesses. For example, I talked to a guy working at a little boutique who not only lived in the neighborhood but also bartended at the pub next door. In fact, he may have just been filling in at the shop as a favor to the owner. The point is: people get along harmoniously herein Columbia City.","To experience Columbia City’s charm, head to Rainier Avenue where it meets Genesee Street. Park your car, and spend some time moseying up and down the main drag and side streets. If you’re early enough, sit at Geraldine’s Counter and have some amazing pancakes, or try Columbia City Bakery for one of their famous pastries. Places like Columbia City Bouquet,Andaluz, and Retroactive Kids provide great browsing opportunities. Round out the day with a show at Columbia City Theatre and dinner at one of the many restaurants to choose from.If you’re up for a little more activity, head to Genesee Park and enjoy the many acres of open grass, play fields, and jungle gyms. Or do a little bike shopping at Bike Works, where they teach youth to fix up used bikes and sell them to you at a great price!"
georgetown,"This blossoming neighborhood in south Seattle is attracting people who want to live close to downtown but might not have the financial means to live in certain other areas. With its quirky culture and fun hangouts, Georgetown is really making a name for itself.","When pioneers first came to the area in the 1850s, Georgetown was one of the places they settled. Then, it was right along the Duwamish river, a fertile valley great for growing hops and other crops. The first railroad began here in 1875, connecting Tacoma and Seattle. Because of its many taverns, which were prohibited in the city, and the Rainier Brewery, Georgetown was a destination for many Seattleites looking to unwind.The neighborhood has long been industrialized and not very resident-friendly, but starting in the 1970s, that has slowly changed. Artists moved in to take advantage of cheap loft spaces, old brick buildings have been turned into cool living quarters, and a delightful little business district has developed.","One’s initial reaction when driving into Georgetown might be, “Where the *bleep* am I?” But then you start to notice things: amidst the sprawling warehouses, an oasis of humanity. Around the area of Airport Way and Corson Avenue begins a strip of businesses that are as funky as they are hidden. To the south and west lies the residential area, containing modest homes and apartment buildings.","In keeping with tradition, there are still some great taverns in Georgetown; 9 Lb. Hammer, Jules Maes Saloon, and the Marco Polo Bar and Grill to name a few. And even though the Rainier brewery is no longer in operation, several new ones have cropped up, like Georgetown Brewery with their ever-popular Manny’s, and Emerald City Beer, who specializes in a lager called Dottie. For food, tryTwo Tartes bakery for a sandwich and giant cookie (get the Georgetown Mojo—chocolate chip, coconut, and oatmeal), or Stellar Pizza for delicious pies made from local ingredients.If you’re not hungry or thirsty, hit up Mix lounge for live music, Georgetown Records for tunes that can go home with you, or hit up one of the many antique stores or art galleries for some eye candy. Check out Georgetown Trailer Park Mall, a lot full of vintage trailers selling goods ranging from eccentric to nostalgic – open every Friday-Sunday. The most daring can go to School of Acrobatics and New Circus Arts (SANCA) to learn the art of the flying trapeze or tumbling."
mount-baker,"If you’ve ever traveled west on the I-90 bridge heading into the city of Seattle, you’ve probably noticed some impressive homes and waterfront parks ahead of you before you enter the tunnel. This is the Mount Baker neighborhood, and it’s even more impressive from the inside.","Once it was finally cleared of its trees and was made accessible to the rest of the city by trolley, Mount Baker quickly became an upscale neighborhood. A community club was formed and the wealthy landowners who built their houses in the area were granted membership. With its views of Lake Washington, the Olympic and Cascade mountain ranges, and Mount Baker in the distance (hence the name), people were eager to move in.Though it is still one of the fancier residential neighborhoods, Mount Baker has lost much of its elite attitude. People flock here during the summer to watch the SeaFair hydroplane races and to visit nearby Columbia City and Seward Park.","The atmosphere around here is pretty quiet, especially on the Lake Washington side; you’d never guess you were in the middle of a huge city. Farther west, along Rainier Avenue, things are a bit busier, with block after block of businesses. With the recent addition of the light rail station, people can more easily commute in and out of downtown.","It would be hard to find a more scenic place to run or bike than along Lake Washington Boulevard, and many people come here to do just that (In fact, on Bicycle Sundays they closethe boulevard to car traffic, so it’s available only to bikers and walkers). The road and trail connect several parks along the waterfront, and swimming, boating, or kayaking opportunities abound. Sayers Memorial Park takes up a tiny peninsula of land and connects to the beautiful Genesee Park, which rambles through the neighborhood and eventually ends in Columbia City. The Community Clubhouse holds events for whoever wishes to come. Choices include fitness day, bingo night, lectures, and workshops for both kids and adults.Noteworthy dining establishments include Emerald City Fish and Chips, That’s Amore! Italian Café (made even better by the stunning view), and Repast Bakery. Of course, along Rainier Avenue there are about a gazillion options, from fast food to cuisine from many ethnicities."
rainier-beach,Rainier Beach is yet another south Seattle neighborhood that is enjoying a resurgence in popularity. Its affordable houses and beautiful views are just a few of its draws.,"In the early days, the landscape here was ideal for farming, hunting, and logging. Developers recognized a good thing when the saw it and cleared land for houses. In fact, the same man that put Green Lake on the map also had a hand in luring people to Rainier Beach. He created Atlantic City Park, now known as Beer Sheva Park. Rail lines connecting Seattle to Renton also helped draw people into the area.During World War II, housing developments were made to accommodate war workers, and after the war these became low-income residences. In the years that followed the war, crime rates rose and people left the neighborhood. Towards the end of the century, however, new houses were built, and those who were looking for affordable options moved in. Since then, the neighborhood has seen growth and prosperity.","A peek at the calendar of events on the Rainier Valley Post Blog shows that this is an organized community who takes great pride in the diversity of the neighborhood. To name a few popular events: International Music and Arts Festival, Big Day of Play, community clean-up days, and the Summer Streets Block Party and Heritage Parade. So even though the residential area is on the quiet side, it’s clear that Rainier Beach can be a place to be out and about, too.","The best attractions here involve nature’s splendor. Beer Shiva Park and Pritchard Island Beach fuse together and provide two great sunbathing sites. Farther south is Lakeridge Park, a 35 acre wooded area with flowing water, hiking trails, and shade galore. At the top of the hill in the center of Rainier Beach lies the Kubota Garden, a historical site and magnificent display of landscape architecture. Paths meander amongst native plants, crossing over small streams with footbridges or stepping stones."
seward-park,"In southeast Seattle, a small peninsula of land juts out into Lake Washington. This is Seward Park, and the surrounding neighborhood shares the same name.","The first settlers here in the 1850s were farmers, orchard tenders, and loggers. The nearby sawmill drew in many workers, and the population steadily increased. It wasn’t until a trolley line was built in 1891 that people could start developing the land in earnest. Where views of the lake were to be had, impressive homes were built, and more modest ones filled in the lots that were farther back from the water. When the neighborhood was annexed into Seattle in the early 1900s, the land on the peninsula was purchased by the city and turned into a park, which they named after William Seward. (You know—Seward’s Folly? Alaska? Ring a bell?) Anyway, eventually the whole neighborhood took on the name of the park.","There are two distinct areas to Seward Park: the water side, and the Rainier Avenue side. The part facing the water is largely residential, with neat rows of houses and a quiet, homey feel. On the Rainier Avenue side you’ll find the businesses and activity. Around here, there’s a lot to do and you’re only a few blocks away from other hip neighborhoods like Columbia City and Rainier Beach.","Between Seward Park the park and Seward Park the neighborhood, there is so much to do here. The park has a 2.5-mile paved trail that runs the border of the peninsula, as well as regular old hiking trails that criss-cross through the middle. There are swimming areas, boat launches, playgrounds, and an environmental learning center. Rumor has it that many bald eagles have made their nests here, so if you keep your eyes peeled, you just might spot one!The business district to the west also has a lot to offer. Flying Squirrel Pizza Company, recently featured by Seattle Metropolitan magazine, had its first restaurant here in Seward Park. Other neighborhood gems include Caffe Vita coffee and Zesto burgers."
south-park,"No, this isn’t the South Park depicted on Comedy Central. Instead of seeing the Rocky Mountains in the background, here you’ll see the Duwamish River and the Seattle skyline.","This area was an ideal place to settle in Seattle’s early days. With the Duwamish River meandering through, the land was fertile and farming was lucrative. When the need for shipping canals increased, the river was straightened and deepened, and farms started closing down and giving way to industrial endeavors. The community has fought to maintain some sense of community throughout history, and although South Park isn’t the fertile valley that it once was, it still holds its appeal for many.","In the past decade or so, South Park has seen a time of refreshing changes. The Duwamish Waterway Park was built along the river and Cesar Chavez Park provides a place to enjoy sculptures and local art. New housing options have been built, and the older ones are gradually being spruced up. Businesses have been moving into the area as a response to the new population growth. All in all, good things are in the future in South Park.","As with nearby Georgetown, South Park is a haven for breweries and wineries.Lowercase Brewing specializes in “Simple, good beer” while Odin Brewing “embraces the exploratory spirit of the ancient Vikings” with their beers. O S Winery hosts tastings of their own specialty wines and also hosts private events; Nota Bene Cellars is a family-owned operation that specializes in red wines made from Washington grapes.Loretta’s Northwesterner is a local favorite, serving up beers and burgers and always playing the latest game on one of their many televisions. Possibly the best part is that they have an Airstream trailer out back where you can hang out and watch more TV. Sweet!"
west-seattle,"Though it’s isolated from the rest of the city, West Seattle is an incredibly popular area, whether it’s to live in or just to visit one of its hip neighborhoods.","The first European settlers landed in West Seattle in 1851 and attempted to set up there, an endeavor that was made difficult by poor weather and a harbor that wasn’t quite up to par. A few stayed behind while everyone else moved on to Elliot Bay. From then on, West Seattle was its own unique community and has maintained a different attitude than Seattle as a whole.The community only really agreed to be annexed into Seattle out of necessity; they just couldn’t get their roads and public utilities up to the level of quality that they wanted. In 1907, West Seattle became part of Seattle officially, but at several times throughout history they threatened to back out of the deal, even as recently as the 1990s. Let’s all keep our fingers crossed that the idea doesn’t come up again; it would be a shame to take this neighborhood off the list of Seattle’s fine districts.","On a nice day, Alki couldn’t be a better destination. The activities there are endless, ranging from simply jogging to the more adventurous kite surfing or parasailing. There are other parks that may be less popular but are every bit as worthwhile, such as Schmitz, Mee Kwa Mooks, and Lincoln parks.You could probably spend every day for a week exploring all that California Avenue and Admiral Way have to offer. You can find anything here; music stores, bakeries, bars, salons, and thrift stores just to name a few. A lot of the businesses are unique to West Seattle; in other words, there aren’t many chains here!",
admiral,"At the heart of West Seattle, Admiral is a neighborhood that combines a beautiful residential area with ultra-hip businesses and unique culture.","After early settlers wrote off Alki beach as too harsh, they moved to the more civilization-friendly top of the hill. This became the business and commercial district of the town of West Seattle, while more residential areas cropped up in the surrounding area. Admiral attempted to annex these smaller neighborhoods without success. All of the communities worked together to get bridges and roads put in so that West Seattle would be more accessible by Seattle residents. In this they did succeed, especially if you count the ferry that crossed Puget Sound in a record eight minutes.There was much argument about whether West Seattle should be annexed into Seattle Proper, and it finally happened in 1907. Still, because of its geographic separation from the rest of the city, West Seattle has a distinct culture, and Admiral remains the center of it all.","A quick perusal at the Admiral Neighborhood Association website give you a glimpse into what the vibe of the community is. They claim to be “comprised of residents, business people, and others who care about the environmental, economic, and social sustainability” of the neighborhood. And care, they do. Events like clean-up days, outdoor concerts, community forums, and art walks get everyone involved and feeling like part of something bigger.","The main streets here are Admiral Way and California Avenue, and the intersection of the two is a great place to start an exploration of the region. Whether you have small children in your life or not, you simply must stop at Max and Quinn’s Atomic Boys Shop-o-Rama, which is full of some of the funnest toys you’ll ever see; think robots, zombies, and pretty much anything retro. Keep the vintage feel going by catching a film at the Historic Admiral Theaters, where they show second-release films for only $6—beat that!Traveling south on California, you’ll come across other gems like Freshy’s Coffee and Tea, The Heartland Cafe (don’t miss the Benbow Room … it’s like you just stepped into the hull of a Pirate ship), and Prost! German pub. If you make it that far, the intersection of California and Alaska (aka “The Junction”) is another extremely popular area of West Seattle, and though not technically part of Admiral, still worth some major exploration time."
alki,"If you take your cues from baby seals, you’ll soon be turning up on Alki Beach to enjoy the long stretch of sand and view of downtown. In Seattle, this is as close as you can get to living in beachy paradise.","Apparently early European settlers took their cues from baby seals, because Alki was the very first place they stopped in Puget Sound in 1851. The view was quite different back then when they were greeted by none other than Chief Seattle. Imagine—no Space Needle, no Century Link Field, no piers or ferry terminals! The conditions were rather unforgiving, and they named the settlement New York-Alki. “Alki” means “by-and-by” or “In a while” in Chinook, so apparently no one was expecting the place to be a booming metropolis anytime soon.It didn’t take long for people to move to Elliot Bay, where the weather and harbor were a little more forgiving. The few people who stayed (only two families) dropped the “New York” from the name and kept the Alki, liking its laid-back sound. Eventually even those families bailed on the area, and Alki was left empty while the rest of West Seattle populated. It wasn’t until neighborhoods like Admiral and Fauntleroy were well established that Alki saw action again, this time as a public beach and a resort area for the wealthy.","As with the rest of West Seattle, Alki has a relaxed feeling, and you can tell the residents are ultra-proud of their ‘hood. Visitors covet the beachfront condos and the place is packed during the summer for beach volleyball tournaments and picnics. In the off-season, locals claim their neighborhood once again.","I’m not kidding about the baby seal thing. It’s not uncommon to go for a walk along Alki Beach and come across one of the little guys, and signs posted will be sure to tell you leave them alone. Instead, view from afar while walking, biking, or blading on the boardwalk (you can rent equipment at Wheel Fun Rentals) or just plain sunbathing. Or, if the beach is too packed, try one of the local parks like Whale Tale Park, Bar S Playground, or the Charles Richey viewpoint.At mealtime, grab fish and chips at Spud and eat it picnic-style, or stop in to Pegasus Pizza, Cactus, or Phoenicia for indoor beachside dining."
fauntleroy,"The area in southwest West Seattle, Fauntleroy, is secluded and quiet with incredible views. The ferry terminal and a large waterfront park keep people coming in all year round.","Fauntleroy got its start when railroad developers randomly built a line there in 1907, which was interesting because no one really lived there. A donation from real estate developers probably was the reason this was chosen as a destination. Sure enough, as soon as the train started running, the neighborhood began to boom.Lincoln Park was built in 1908 as part of the citywide parks plan, and in 1920 the ferry terminal was put in to connect West Seattle to Vashon Island.","Considering its relative isolation from the busier parts of Seattle, it’s no surprise that the vibe in Fauntleroy is mellow. The place is quiet and serene—how could it not be with such great views of the nearby islands and the Olympic Mountains? But there is one thing that people get fired up about around here: environmentalism. Residents work tirelessly to protect the natural habitats along the waterfront and Fauntleroy Creek. They are always conscious of the way the ferry terminal and human activity affect the area’s parks and wildlife. So if there’s one reason why they like to keep it quiet around here, it’s probably so that the environment will remain beautiful for future generations.","Lincoln Park, just north of the ferry terminal, claims to be Seattle’s most ‘multipurpose’ park, boasting amenities like hiking trails, bike trails, boat launch, wading pool, heated outdoor saltwater pool, ball fields, and picnic sites. Oh yeah, and horseshoe pits, play equipment, a sweet view, and a p-patch. Phew! I guess they weren’t exaggerating!There isn’t any major business district here, but there are a few noteworthy restaurants: try out Birds on a Wire Espresso, the funky neighborhood coffee shop, Endolyne Joe’s for their ‘tour of the Americas’ menu that rotates every season, or The Original Bakery for a donut that would rival any of the more famous shops in Seattle.If none of that suffices, you can always jump on the Vashon or Southworth ferry; both leave from the terminal at Fauntleroy Cove."
alaska-junction,"The West Seattle Junction may be the only intersection in Seattle where pedestrians can walk all ways across the street when they get the signal. If these things are any indication of the hipness of a neighborhood, one can deduce that the Junction must be one of the coolest places to live in Seattle, right?","People certainly agreed with that sentiment in the early 1900s. When two streetcar lines were finally constructed in 1907 along Alaska Street and California Avenue, their intersection—the Junction—was developed faster than any neighborhood in Seattle’s history. Times got tough during the great depression in the 1930s, but soon rebounded with the advent of the automobile. This was when the All Way Walk signal made its debut—too many cars were competing with too many pedestrians. And although there were a few more blips in the neighborhood’s success here and there, it’s safe to say that today, West Seattle is established and here to stay.","The Junction is considered to be downtown West Seattle, and according to the community website, this is “Where It’s At.” And by ‘it,’ they probably mean: shopping, dining, drinking, desserting, concert going, coffee sipping, wine tasting, farmers-marketing, and on and on and on. Events like art walks, seasonal festivals, open mic nights, and outdoor movie nights keep locals and visitors busy all year round.The neighborhood actually goes by a few names these days. You may hear it called,or simply. Technically there is a neighborhood to the west called Genessee, though it overlaps and many residents will simply say they live in “The Junction.”","Some establishments worth mentioning are the Husky Deli, which has been selling groceries and ice cream since the 1930s, Easy Street Records, a funky new-and-used music shop that also serves up a cheap and delicious brunch, and Bakery Noveau, which took over the space of a historic bakery. Really, there’s no shortage of shops and eateries to pop into; it all depends on what you’re in the mood for!Maybe you’re in the mood for something a little more active than dining and shopping. In that case, the Junction is also home to one of the only bowling alleys left in the city—West Seattle Bowl. Or, to get out in nature, check out Camp Long and its hiking trails, climbing rocks and newly constructed ropes course."
